VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
X8BlR_QpAcc,408929,4424,122,197,150,0
oRCfeWg78z8,994526,101066,6387,892,0,1
l0FWiVe_lWo,998343,2653,216,401,559,0
wD2V5AZY1N4,99810,1163,0,147,346,0
nNBAXz1cxSY,2825,18,1,1,1,0
r9ncv3pflDk,308333,45439,4095,236,0,1
aGgkF7fh4MA,1187551,65932,21021,4323,2,1
R0bwMMRTTY8,414288,4381,467,192,2,1
9c0ob8QtjEw,233056,214,14,34,3428,0
yM3Clkm4yeY,1536293,104307,9846,917,5,1
Nurxjh19llc,3067960,3694,263,700,1747,0
AUt4TvjF-Vs,4958,269,31,18,72,0
AF2NrrJB8zA,376833,0,0,0,1,1
DKuRrsiP8iI,16087,281,27,4,42,0
alaen4fno20,3371360,70108,8394,7216,0,1
SEOBAIAWZNU,617474,42874,8166,487,3,1
FIrHqFvPJLY,10220,107,9,11,4,0
3-obeXP5cWQ,876,19,0,1,0,0
wheQWur9ZVM,405230,49513,3162,305,5,1
cWY-aIsgBWQ,524727,1799,97,130,418,0
lzQRLf0Bey0,556333,7613,1832,319,2,1
Sgrjiqh6rlk,647898,4029,1636,185,0,1
vRN1kMcrans,130954,15845,1446,204,1,1
rlYDaqmE5no,51486,506,23,15,102,0
GsGoZLDi2Yo,8142,237,5,15,2,0
e0C0r2JO_LE,94620,457,18,22,21,0
iy5w5h1sCL8,685432,39056,3964,525,3,1
wL-WEQpnzqQ,1436804,12650,0,1270,5,1
nZMUzaLV4X0,3854674,202773,22144,7760,4,1
c5AqSPDWflA,3999995,121708,3964,4869,4,1
VUROGDB0_cs,427017,39207,2755,478,3,1
7NeCUpCtkl8,5327259,9585,593,1125,245,0
vEGQFBzTgH4,508968,40476,3729,409,0,1
B0S8oUcFOHk,546433,5377,249,286,4,1
hyjK4vhE30o,87086,829,0,65,614,0
4pa9O5cr398,5071511,200982,9351,6761,3,1
uM-izUyIjtw,3168241,169724,14696,1960,5,1
C9wsa-dGc1k,217525,27801,4611,301,0,1
mDtNJzijxHg,5093513,5930,644,947,1041,0
vCfuwHKnWZg,934122,1277,91,91,319,0
ARRnyc0U6Js,379804,3,0,2,194,0
0WULTU6zl2E,598858,27462,1655,435,8,1
P0-FnGLeZ-s,3463124,36141,2429,2241,9,0
0q777woAQkM,15500,0,0,0,40,0
gZ66wJFD3bs,585242,47206,4200,1773,1,1
5dCjQ0oS2KU,159736,16,2,0,290,0
pXqNg2YAzIQ,1544462,126778,4845,1177,2,1
wE5cmG3CvOY,264,24,0,0,2,0
QF5ouJODw2A,253507,3284,992,157,1,0
3NRriVUjErM,3669575,169951,17189,2448,4,1
04FtEJvCZP0,933982,13781,949,246,10,0
KZ78DREcLEs,246401,22454,714,294,1,1
deISkdn2weU,554729,2523,241,314,112,0
qQeH_ZbXHic,263347,0,0,0,1,1
GmB3WdjdzbE,22287766,420251,23966,12159,6,1
D2aCgNHHOb8,144639,3251,825,271,1,1
